地區,大廈名單,個案最後到訪日期,相關個案編號
中西區,山景園,12/07/2022,
中西區,文咸東街146號,12/07/2022,
中西區,再輝大廈,12/07/2022,
中西區,同達大廈,12/07/2022,
中西區,地利根德閣3座,12/07/2022,
中西區,均益大廈1期,12/07/2022,
中西區,均益大廈3期A座,12/07/2022,
中西區,良基大廈,12/07/2022,
中西區,昌運大廈,12/07/2022,
中西區,金莉大廈,12/07/2022,
中西區,金碧閣,12/07/2022,
中西區,珍珠閣,12/07/2022,
中西區,皇后大道西305號,12/07/2022,
中西區,皇后大道西326號,12/07/2022,
中西區,美景臺,12/07/2022,
中西區,香港JW萬豪酒店,12/07/2022,
中西區,香港大學賽馬會第三學生村志新學院,12/07/2022,
中西區,海雅閣,12/07/2022,
中西區,高街16號,12/07/2022,
中西區,高逸華軒,12/07/2022,
中西區,堅城中心,12/07/2022,
中西區,康威園,12/07/2022,
中西區,荷李活大樓,12/07/2022,
中西區,華富邨華信樓,12/07/2022,
中西區,業昌大廈,12/07/2022,
中西區,毓明閣1座,12/07/2022,
中西區,裕新大廈1座,12/07/2022,
中西區,雍翠臺,12/07/2022,
中西區,嘉富臺,12/07/2022,
中西區,福華洋樓,12/07/2022,
中西區,福滿大廈,12/07/2022,
中西區,慧明苑2座,12/07/2022,
中西區,蔚華閣,12/07/2022,
中西區,賢德大廈,12/07/2022,
中西區,適安大廈,12/07/2022,
中西區,翰林峰1座,12/07/2022,
中西區,翰林軒2座,12/07/2022,
中西區,興揚大廈,12/07/2022,
中西區,聯康新樓,12/07/2022,
中西區,薈萃苑,12/07/2022,
中西區,駿豪閣,12/07/2022,
中西區,羅便臣道31號,12/07/2022,
中西區,寶園,12/07/2022,
中西區,寶翠園6座,12/07/2022,
中西區,蘭桂坊酒店,12/07/2022,
中西區,三滙大廈,11/07/2022,
中西區,太古廣場栢舍,11/07/2022,
中西區,加惠臺,11/07/2022,
中西區,本舍,11/07/2022,
中西區,百年大樓2座,11/07/2022,
中西區,百事樓,11/07/2022,
中西區,均益大廈3期B座,11/07/2022,
中西區,宜必思香港中上環酒店,11/07/2022,
中西區,金陵閣,11/07/2022,
中西區,青蓮閣,11/07/2022,
中西區,信怡閣,11/07/2022,
中西區,南華大廈,11/07/2022,
中西區,恒裕大廈,11/07/2022,
中西區,美暉大廈,11/07/2022,
中西區,美麗閣,11/07/2022,
中西區,英輝閣,11/07/2022,
中西區,展鴻閣,11/07/2022,
中西區,海都樓,11/07/2022,
中西區,海景大廈,11/07/2022,
中西區,益豐花園A座,11/07/2022,
中西區,高雲臺,11/07/2022,
中西區,域多利道410號,11/07/2022,
中西區,博仕臺,11/07/2022,
中西區,富景花園1座,11/07/2022,
中西區,順景雅庭,11/07/2022,
中西區,奧卑利街已婚警察宿舍,11/07/2022,
中西區,雋庭,11/07/2022,
中西區,嘉富麗苑,11/07/2022,
中西區,福苑1座,11/07/2022,
中西區,翠麗苑,11/07/2022,
中西區,慧明苑1座,11/07/2022,
中西區,樂信臺2座,11/07/2022,
中西區,學士臺3座,11/07/2022,
中西區,曉峰閣2座,11/07/2022,
中西區,聯德大廈,11/07/2022,
中西區,聯德新樓,11/07/2022,
中西區,豐林閣,11/07/2022,
中西區,寶雲山莊,11/07/2022,
中西區,寶翠園1座,11/07/2022,
中西區,寶翠園3座,11/07/2022,
中西區,寶翠園5座,11/07/2022,
中西區,寶翠園8座,11/07/2022,
中西區,觀龍樓2座,11/07/2022,
中西區,大安臺8號,10/07/2022,
中西區,文華大廈,10/07/2022,
中西區,吉席街42號,10/07/2022,
中西區,尚雅苑,10/07/2022,
中西區,怡景花園2座,10/07/2022,
中西區,泓都2座,10/07/2022,
中西區,金鳳閣,10/07/2022,
中西區,金輝大廈,10/07/2022,
中西區,俊賢花園2座,10/07/2022,
中西區,皇后商業大廈,10/07/2022,
中西區,殷樺花園2期,10/07/2022,
中西區,海都樓B座,10/07/2022,
中西區,堅尼地大廈,10/07/2022,
中西區,順暉大廈,10/07/2022,
中西區,裕利大廈,10/07/2022,
中西區,雍景臺1座,10/07/2022,
中西區,嘉兆臺1座,10/07/2022,
中西區,嘉景臺,10/07/2022,
中西區,嘉裕樓,10/07/2022,
中西區,寧養台A座,10/07/2022,
中西區,精緻園,10/07/2022,
中西區,學士臺2座,10/07/2022,
中西區,樹福大廈,10/07/2022,
中西區,錦翠園,10/07/2022,
中西區,寶翠園2座,10/07/2022,
中西區,寶德大廈,10/07/2022,
中西區,觀龍樓A座,10/07/2022,
中西區,Akvo Hotel,09/07/2022,
中西區,三多大樓,09/07/2022,
中西區,文咸東街142-146號,09/07/2022,
中西區,永翠閣,09/07/2022,
中西區,先施西環大廈,09/07/2022,
中西區,好利閣,09/07/2022,
中西區,西寧閣,09/07/2022,
中西區,泓都1座,09/07/2022,
中西區,采逸軒,09/07/2022,
中西區,金堅大廈,09/07/2022,
中西區,金豪閣,09/07/2022,
中西區,帝景園4座,09/07/2022,
中西區,星輝大廈,09/07/2022,
中西區,盈基花園桃李閣,09/07/2022,
中西區,美華大廈,09/07/2022,
中西區,殷樺花園1期,09/07/2022,
中西區,偉景閣,09/07/2022,
中西區,荷李活華庭B座,09/07/2022,
中西區,創業中心C座,09/07/2022,
中西區,惠園,09/07/2022,
中西區,華輝大廈,09/07/2022,
中西區,雅苑,09/07/2022,
中西區,僑成大樓,09/07/2022,
中西區,僑發大廈,09/07/2022,
中西區,嘉利大廈,09/07/2022,
中西區,嘉發商業中心,09/07/2022,
中西區,瑧璈,09/07/2022,
中西區,銀行大廈,09/07/2022,
中西區,慧源閣,09/07/2022,
中西區,翰林峰,09/07/2022,
中西區,賴恩樓,09/07/2022,
中西區,聯基新樓,09/07/2022,
中西區,聯發新樓,09/07/2022,
中西區,寶威閣,09/07/2022,
中西區,寶德大廈,09/07/2022,
中西區,山市街19號,08/07/2022,
中西區,加惠臺2座,08/07/2022,
中西區,均益大廈2期B座,08/07/2022,
中西區,怡富閣,08/07/2022,
中西區,東盛臺,08/07/2022,
中西區,欣翠閣,08/07/2022,
中西區,采文軒,08/07/2022,
中西區,城暉大廈,08/07/2022,
中西區,帝后華庭3座,08/07/2022,
中西區,帝豪閣C座,08/07/2022,
中西區,梅芳街21號,08/07/2022,
中西區,荷李活道79號,08/07/2022,
中西區,華亭閣,08/07/2022,
中西區,華寶大廈,08/07/2022,
中西區,雅賓利大廈,08/07/2022,
中西區,嘉輝花園B座,08/07/2022,
中西區,廣豐臺2座,08/07/2022,
中西區,樂信臺3座,08/07/2022,
中西區,學士臺1座,08/07/2022,
中西區,翰林峰3座,08/07/2022,
中西區,錦興大廈,08/07/2022,
中西區,龍翔花園,08/07/2022,
中西區,聯邦花園威尼斯閣,08/07/2022,
中西區,寶德臺,08/07/2022,
中西區,觀龍樓1座,08/07/2022,
中西區,Lexington Hill,07/07/2022,
中西區,大新閣,07/07/2022,
中西區,大興樓,07/07/2022,
中西區,文華大廈,07/07/2022,
中西區,加惠臺1座,07/07/2022,
中西區,百年大樓1座,07/07/2022,
中西區,西園長蓁閣,07/07/2022,
中西區,西環邨中苑臺,07/07/2022,
中西區,西環邨東苑臺,07/07/2022,
中西區,利華大廈,07/07/2022,
中西區,佳景閣,07/07/2022,
中西區,和益大廈,07/07/2022,
中西區,宜順大廈,07/07/2022,
中西區,尚嶺,07/07/2022,
中西區,泓都3座,07/07/2022,
中西區,花園台2座,07/07/2022,
中西區,金谷大廈,07/07/2022,
中西區,金庭居,07/07/2022,
中西區,金堂大廈,07/07/2022,
中西區,金寶閣,07/07/2022,
中西區,南海大廈,07/07/2022,
中西區,南雄大廈A座,07/07/2022,
中西區,美菲閣2座,07/07/2022,
中西區,浚峯,07/07/2022,
中西區,高街15號,07/07/2022,
中西區,堅都大廈,07/07/2022,
中西區,堅麗閣,07/07/2022,
中西區,康樂大廈,07/07/2022,
中西區,富康樓,07/07/2022,
中西區,隆基大樓,07/07/2022,
中西區,愛都大廈3座,07/07/2022,
中西區,萬城閣,07/07/2022,
中西區,嘉兆臺2座,07/07/2022,
中西區,嘉輝花園A座,07/07/2022,
中西區,福陞閣,07/07/2022,
中西區,福澤花園B座,07/07/2022,
中西區,綠意居,07/07/2022,
中西區,翠錦園,07/07/2022,
中西區,翡翠閣,07/07/2022,
中西區,樂信臺1座,07/07/2022,
中西區,輝煌豪園,07/07/2022,
中西區,縉城峰2座,07/07/2022,
中西區,羲皇臺5座,07/07/2022,
中西區,翰林峰2座,07/07/2022,
中西區,翰庭軒,07/07/2022,
中西區,豫苑1座,07/07/2022,
中西區,鴨巴甸街13號,07/07/2022,
中西區,龍豐閣,07/07/2022,
中西區,聯興新樓,07/07/2022,
中西區,謝斐道522號,07/07/2022,
中西區,禮賢閣B座,07/07/2022,
中西區,豐逸大廈,07/07/2022,
中西區,麗景大廈,07/07/2022,
中西區,麗賢閣,07/07/2022,
中西區,寶慶大廈,07/07/2022,
中西區,觀龍樓E座,07/07/2022,
中西區,Imperial Kennedy,06/07/2022,
中西區,永華大廈,06/07/2022,
中西區,兆宜大廈,06/07/2022,
中西區,西環邨南苑臺,06/07/2022,
中西區,亞洲大廈,06/07/2022,
中西區,恆琪園,06/07/2022,
中西區,皇后大道西227號,06/07/2022,
中西區,殷豪閣,06/07/2022,
中西區,海都樓A座,06/07/2022,
中西區,海傍大廈,06/07/2022,
中西區,康威花園B座,06/07/2022,
中西區,創業中心B座,06/07/2022,
中西區,景輝大廈,06/07/2022,
中西區,順昌大廈,06/07/2022,
中西區,萬和閣,06/07/2022,
中西區,禧利大廈,06/07/2022,
中西區,藝里坊2號,06/07/2022,
中西區,八達大廈,05/07/2022,
中西區,中苑臺,05/07/2022,
中西區,太古樓,05/07/2022,
中西區,俊賢閣,05/07/2022,
中西區,威威商業大廈,05/07/2022,
中西區,帝后華庭2座,05/07/2022,
中西區,帝景園1座,05/07/2022,
中西區,帝華臺,05/07/2022,
中西區,恒陞大樓,05/07/2022,
中西區,堅苑,05/07/2022,
