更新日期,更新時間,確診個案,排除個案,仍然住院接受檢查個案,符合呈報準則個案,死亡,出院,疑似個案,住院危殆個案,核酸檢測陽性的嚴重急性呼吸綜合症冠狀病毒2個案,快速抗原測試陽性的嚴重急性呼吸綜合症冠狀病毒2個案,update_time
2020-01-08,12:00,0.0,21.0,17.0,38.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-09,12:00,0.0,25.0,23.0,48.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-10,12:00,0.0,31.0,23.0,54.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-11,12:00,0.0,46.0,15.0,61.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-12,12:00,0.0,51.0,16.0,67.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-13,12:00,0.0,56.0,12.0,68.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-14,12:00,0.0,60.0,11.0,71.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-15,12:00,0.0,66.0,10.0,76.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-16,12:00,0.0,71.0,7.0,78.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-17,12:00,0.0,75.0,6.0,81.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-18,12:00,0.0,76.0,14.0,90.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-19,12:00,0.0,80.0,19.0,99.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-20,12:00,0.0,81.0,25.0,106.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-21,12:00,0.0,88.0,30.0,118.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-22,12:00,0.0,97.0,38.0,135.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-23,12:00,2.0,109.0,65.0,176.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-24,12:00,5.0,122.0,117.0,244.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-25,12:00,5.0,163.0,137.0,305.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-26,12:00,8.0,219.0,155.0,382.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-27,12:00,8.0,276.0,167.0,451.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-28,12:00,8.0,332.0,189.0,529.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
2020-01-29,12:00,10.0,416.0,159.0,585.0,0,0.0,0.0,,,,2022-07-14 11:14:24.693486
